MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2444323	A630089N07Rik	RIKEN cDNA A630089N07 gene	16		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:2444323	A630089N07Rik	RIKEN cDNA A630089N07 gene	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN001226166 	J:265628 	
MGI:1197012	Aebp1	AE binding protein 1	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN002609584 	J:265628 	
MGI:1197012	Aebp1	AE binding protein 1	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q8IUX7 	J:164563 	
MGI:1338038	Aebp2	AE binding protein 2	6		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:55019 	
MGI:1338038	Aebp2	AE binding protein 2	6		DNA-binding transcription repressor activity, RNA polymerase II-specific			IMP		J:55019 	
MGI:1100819	Aff1	AF4/FMR2 family, member 1	5		DNA-binding transcription factor activity			TAS		J:76005 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		DNA-binding transcription factor activity			TAS		J:76005 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			IDA		J:153 J:14760 J:242131 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			ISO	P35869 	J:75462 J:164563 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			TAS		J:65378 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:131871 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			IBA	PTN004180845 	J:265628 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			IDA		J:477 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			ISO	RGD:2074 	J:155856 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			ISO	P35869 	J:164563 	
MGI:1333776	Ahrr	aryl-hydrocarbon receptor repressor	13		nuclear receptor activity			IBA	PTN004180845 	J:265628 	
MGI:2141510	AI854703	expressed sequence AI854703	6		DNA-binding transcription factor activity			IBA	PTN002811104 	J:265628 	
MGI:2142079	AI987944	expressed sequence AI987944	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:2142079	AI987944	expressed sequence AI987944	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN001226166 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	O43918 	J:164563 	
MGI:2140340	Akna	AT-hook transcription factor	4		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q7Z591 	J:164563 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN002803087 	J:265628 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q15699 	J:164563 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription factor activity			IDA		J:51128 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription factor activity			ISO	RGD:2273 	J:155856 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004692309 	J:265628 	
MGI:1277097	Alx3	aristaless-like homeobox 3	3		DNA-binding transcription factor activity			ISO	Q6RW14 	J:73065 	
MGI:1277097	Alx3	aristaless-like homeobox 3	3		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004692309 	J:265628 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN002803099 	J:265628 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:51128 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription factor activity			IDA		J:50255 J:51128 J:73689 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004692309 	J:265628 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P10275 	J:164563 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			IDA		J:78409 J:87326 J:105872 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			ISO	P10275 	J:164563 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IBA	PTN000637642 	J:265628 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IDA		J:78409 J:91599 J:207823 J:240274 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			ISO	RGD:2147 	J:155856 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			ISO	P10275 	J:164563 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN000394188 	J:265628 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:95172 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		DNA-binding transcription activator activity, RNA polymerase II-specific			IMP		J:95172 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		DNA-binding transcription factor activity			IDA		J:95172 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		DNA-binding transcription factor activity	uses Igh-VS107		IDA		J:177460 	
MGI:1930768	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	9		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN000394188 	J:265628 	
MGI:1930768	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	9		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:51742 	
MGI:3650624	Arid3c	AT rich interactive domain 3C (BRIGHT-like)	4		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN000394188 	J:265628 	
MGI:3650624	Arid3c	AT rich interactive domain 3C (BRIGHT-like)	4		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952	UniProtKB:B7ZP08	IDA		J:177460 	
MGI:2175912	Arid5b	AT rich interactive domain 5B (MRF1-like)	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q14865 	J:164563 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			IDA		J:93202 J:261828 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			TAS		J:65378 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3	contributes_to	DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	P27540 	J:164563 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		nuclear receptor activity			IMP	MGI:2176696 	J:64967 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:31945 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription factor activity			IDA		J:31945 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	Q9HBZ2 	J:164563 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IC	GO:0045944 	J:87263 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:180477 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		DNA-binding transcription factor activity			IDA		J:49044 J:76640 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		DNA-binding transcription factor activity			ISA	AJ318060 	J:72921 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:178280 	
MGI:2684845	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	6		DNA-binding transcription factor activity			ISO	Q8WYA1 	J:73065 	
MGI:2684845	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	6		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	Q8WYA1 	J:164563 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004692309 	J:265628 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	Q96QS3 	J:203650 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0000165		IDA		J:98803 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity			IDA		J:119653 J:241054 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity			ISO	P50553 	J:164563 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	P50553 	J:164563 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7	contributes_to	DNA-binding transcription factor activity			IBA	PTN000358347 	J:265628 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription factor activity			ISO	RGD:2159 	J:155856 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q99929 	J:164563 	
MGI:1928820	Ascl3	achaete-scute family bHLH transcription factor 3	7	contributes_to	DNA-binding transcription factor activity			IBA	PTN000358347 	J:265628 	
MGI:1928820	Ascl3	achaete-scute family bHLH transcription factor 3	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:73675 	
MGI:1914591	Ascl4	achaete-scute family bHLH transcription factor 4	10	contributes_to	DNA-binding transcription factor activity			IBA	PTN000358347 	J:265628 	
MGI:2685043	Ascl5	achaete-scute family bHLH transcription factor 5	1	contributes_to	DNA-binding transcription factor activity			IBA	PTN000358347 	J:265628 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18846 	J:164563 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription factor activity			IEA	IPR001630 IPR004827 IPR029825 	J:72247 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	RGD:1307360 	J:155856 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription activator activity, RNA polymerase II-specific	uses Pparg,happens near SO:0001668		IDA		J:156376 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P15336 	J:164563 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription factor activity			ISO	P15336 	J:35340 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18847 	J:164563 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription factor activity			ISO	P18847 	J:164563 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001156258 	J:265628 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:108648 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN000315883 	J:265628 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IMP		J:210921 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IDA		J:89403 J:198492 J:198927 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IMP		J:137331 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			ISO	P18848 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15	contributes_to	DNA-binding transcription factor activity, RNA polymerase II-specific	uses Slc20a1|uses Slc20a2,happens in vascular associated smooth muscle cell		IDA		J:237331 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	P18848 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN000315883 	J:265628 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q9Y2D1 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISO	RGD:628902 	J:155856 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISO	Q9Y2D1 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18850 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription factor activity			ISO	P18850 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17	contributes_to	DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q99941 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		DNA-binding transcription factor activity			ISO	Q99941 	J:164563 	
MGI:2443472	Atf7	activating transcription factor 7	15		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	P17544 	J:164563 	
MGI:2682328	Atmin	ATM interactor	8		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:186112 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:211249 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:1355553	Atoh7	atonal bHLH transcription factor 7	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity			IDA		J:210057 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity			ISO	Q96SQ7 	J:164563 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:2143755	AU041133	expressed sequence AU041133	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:2143755	AU041133	expressed sequence AU041133	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN001226166 	J:265628 	
MGI:2142212	AW146154	expressed sequence AW146154	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN002811836 	J:265628 	
MGI:3034577	AW822073	expressed sequence AW822073	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN002388561 	J:265628 	
MGI:3588191	B020011L13Rik	RIKEN cDNA B020011L13 gene	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN007798770 	J:265628 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0000165		IDA		J:41872 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription factor activity			IBA	PTN002918884 	J:265628 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription factor activity			IDA		J:41872 J:146868 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0000165		IDA		J:41872 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	O14867 	J:164563 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription factor activity			IBA	PTN002918884 	J:265628 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription factor activity			IDA		J:41872 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0000165		IDA		J:41872 	
MGI:1859288	Barhl1	BarH like homeobox 1	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN001551673 	J:265628 	
MGI:1859288	Barhl1	BarH like homeobox 1	2		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001668,uses Barhl1		IDA		J:132646 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN001551673 	J:265628 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription activator activity, RNA polymerase II-specific	uses Barhl1,happens near SO:0001668		IDA		J:132646 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription factor activity			ISO	RGD:620726 	J:155856 	
MGI:103124	Barx1	BarH-like homeobox 1	13		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN001551673 	J:265628 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN001551673 	J:265628 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q9UMQ3 	J:164563 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription factor activity			IDA		J:98500 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952		IMP		J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription factor activity			IDA		J:150643 J:172119 J:188767 J:189230 J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001156258 	J:265628 	
MGI:1921731	Batf2	basic leucine zipper transcription factor, ATF-like 2	19		DNA-binding transcription factor activity			IEA	IPR000837 IPR004827 	J:72247 	
MGI:1921731	Batf2	basic leucine zipper transcription factor, ATF-like 2	19		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001156258 	J:265628 	
MGI:1925491	Batf3	basic leucine zipper transcription factor, ATF-like 3	1		DNA-binding transcription factor activity			IEA	IPR000837 IPR004827 IPR029818 	J:72247 	
MGI:1925491	Batf3	basic leucine zipper transcription factor, ATF-like 3	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001156258 	J:265628 	
MGI:1925491	Batf3	basic leucine zipper transcription factor, ATF-like 3	1		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q9NR55 	J:164563 	
MGI:2670978	BC024063	cDNA sequence BC024063	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN007798770 	J:265628 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		DNA-binding transcription factor activity			IDA		J:107516 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		DNA-binding transcription factor activity			ISO	P41182 	J:164563 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN004702374 	J:265628 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		DNA-binding transcription repressor activity, RNA polymerase II-specific	uses Adar		IDA		J:193867 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:77745 	
MGI:1278332	Bcl6b	B cell CLL/lymphoma 6, member B	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN004702374 	J:265628 	
MGI:1278332	Bcl6b	B cell CLL/lymphoma 6, member B	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:48309 	
MGI:106190	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	11		DNA-binding transcription factor activity			IBA	PTN001905569 	J:265628 	
MGI:106190	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q9H165 	J:164563 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001668,uses Msx2|happens near SO:0001668,uses Sp6		IDA		J:146765 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001668,uses Adcy5|uses Ngef,happens near SO:0001668|uses Tac1,happens near SO:0001668|uses Bcl11b,happens near SO:0001668		IDA		J:138707 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		DNA-binding transcription factor activity			IBA	PTN001905569 	J:265628 	
MGI:2444198	Bhlha9	basic helix-loop-helix family, member a9	11		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN002360678 	J:265628 	
MGI:891976	Bhlha15	basic helix-loop-helix family, member a15	5		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:89063 	
MGI:891976	Bhlha15	basic helix-loop-helix family, member a15	5		DNA-binding transcription activator activity, RNA polymerase II-specific			IMP		J:89063 	
MGI:891976	Bhlha15	basic helix-loop-helix family, member a15	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:1930001	Bhlhe22	basic helix-loop-helix family, member e22	3		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:1930001	Bhlhe22	basic helix-loop-helix family, member e22	3		DNA-binding transcription factor activity, RNA polymerase II-specific	uses Zbtb18|uses Cdh11|uses Bhlhe22		IMP	MGI:4440742 	J:182304 	
MGI:2153710	Bhlhe23	basic helix-loop-helix family, member e23	2		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN001454287 	J:265628 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004213585 	J:265628 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:178280 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	O14503 	J:164563 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:178280 J:211246 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:180463 	
MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	6		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	O14503 	J:164563 	
MGI:1930704	Bhlhe41	basic helix-loop-helix family, member e41	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004213585 	J:265628 	
MGI:1930704	Bhlhe41	basic helix-loop-helix family, member e41	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:79730 J:178280 	
MGI:1930704	Bhlhe41	basic helix-loop-helix family, member e41	6		DNA-binding transcription repressor activity, RNA polymerase II-specific	happens near SO:0001952		IDA		J:178282 J:180463 	
MGI:1930704	Bhlhe41	basic helix-loop-helix family, member e41	6		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:79730 J:178280 J:211246 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN001691821 	J:265628 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		DNA-binding transcription factor activity			IEA	IPR002418 IPR012682 	J:72247 	
MGI:2669849	Bsx	brain specific homeobox	9		DNA-binding transcription activator activity, RNA polymerase II-specific	happens near SO:0001952	PR:Q810B3-1	IDA		J:122211 	
MGI:2669849	Bsx	brain specific homeobox	9		DNA-binding transcription factor activity		PR:Q810B3-1	IDA		J:122211 	
MGI:2669849	Bsx	brain specific homeobox	9		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004692250 	J:265628 	
MGI:2140230	Camta1	calmodulin binding transcription activator 1	4		DNA-binding transcription factor activity, RNA polymerase II-specific			IEA	IPR039033 	J:72247 	
MGI:2182269	Carf	calcium response factor	1		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN002685514 	J:265628 	
