Symbol	Gene name
Ahrr	aryl-hydrocarbon receptor repressor
AI255170	expressed sequence AI255170
AI481750	expressed sequence AI481750
AI591476	expressed sequence AI591476
Aip	aryl-hydrocarbon receptor-interacting protein
Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)
Alx3	aristaless 3
Alx4	aristaless 4
Ank1	"ankyrin 1, erythroid"
Ank2	"ankyrin 2, brain"
Ankfy1	ankyrin repeat and FYVE domain containing 1
Ankhd1	ankyrin repeat and KH domain containing 1
Ankra2	"ankyrin repeat, family A (RFXANK-like), 2"
Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
Ankrd10	ankyrin repeat domain 10
Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)
Ankrd25	ankyrin repeat domain 25
Ankrd3	ankyrin repeat domain 3
Ankrd5	ankyrin repeat domain 5
Ankrd6	ankyrin repeat domain 6
Aprin	androgen-induced proliferation inhibitor
Ar	androgen receptor
Arhgap17	Rho GTPase activating protein 17
Arid1a	AT rich interactive domain 1A (Swi1 like)
Arid3a	AT rich interactive domain 3A (Bright like)
Arid3b	AT rich interactive domain 3B (Bright like)
Arid4a	AT rich interactive domain 4A (Rbp1 like)
Arid5b	AT rich interactive domain 5B (Mrf1 like)
Arnt	aryl hydrocarbon receptor nuclear translocator
Arnt2	aryl hydrocarbon receptor nuclear translocator 2
Arntl	aryl hydrocarbon receptor nuclear translocator-like
Arx	aristaless related homeobox gene (Drosophila)
Asb1	ankyrin repeat and SOCS box-containing protein 1
Asb10	ankyrin repeat and SOCS box-containing protein 10
Asb11	ankyrin repeat and SOCS box-containing protein 11
Asb12	ankyrin repeat and SOCS box-containing protein 12
Asb15	ankyrin repeat and SOCS box-containing protein 15
Asb2	ankyrin repeat and SOCS box-containing protein 2
Asb3	ankyrin repeat and SOCS box-containing protein 3
Asb4	ankyrin repeat and SOCS box-containing protein 4
Asb5	ankyrin repeat and SOCs box-containing protein 5
Asb6	ankyrin repeat and SOCS box-containing protein 6
Asb8	ankyrin repeat and SOCS box-containing protein 8
Asb9	ankyrin repeat and SOCS box-containing protein 9
Ascl1	achaete-scute complex homolog-like 1 (Drosophila)
Ascl2	achaete-scute complex homolog-like 2 (Drosophila)
Ascl3	achaete-scute complex homolog-like 3 (Drosophila)
Ash1l	"ash1 (absent, small, or homeotic)-like (Drosophila)"
Ash2l	"ash2 (absent, small, or homeotic)-like (Drosophila)"
Asxl1	additional sex combs like 1 (Drosophila)
Atbf1	AT motif binding factor 1
Atf1	activating transcription factor 1
Atf2	activating transcription factor 2
Atf3	activating transcription factor 3
Atf4	activating transcription factor 4
Atf5	activating transcription factor 5
Atf6	activating transcription factor 6
Atf7	activating transcription factor 7
Atf7ip	activating transcription factor 7 interacting protein
Atm	ataxia telangiectasia mutated homolog (human)
Atoh1	atonal homolog 1 (Drosophila)
AU018122	expressed sequence AU018122
AW146020	expressed sequence AW146020
AW210570	expressed sequence AW210570
AW538212	expressed sequence AW538212
AW610627	expressed sequence AW610627
B3Gat3	"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
B430306D02Rik	RIKEN cDNA B430306D02 gene
B930011H20Rik	RIKEN cDNA B930011H20 gene
B930041F14Rik	RIKEN cDNA B930041F14 gene
Bach1	BTB and CNC homology 1
Bach2	BTB and CNC homology 2
Bapx1	bagpipe homeobox gene 1 homolog (Drosophila)
Bard1	BRCA1 associated RING domain 1
Barhl1	BarH-like 1 (Drosophila)
Barx1	BarH-like homeobox 1
Barx2	BarH-like homeobox 2
Basp1	"brain abundant, membrane attached signal protein 1"
Bat4	HLA-B associated transcript 4
Bat8	HLA-B associated transcript 8
Batf	"basic leucine zipper transcription factor, ATF-like"
Baz1a	bromodomain adjacent to zinc finger domain 1A
Baz1b	"bromodomain adjacent to zinc finger domain, 1B"
Baz2a	"bromodomain adjacent to zinc finger domain, 2A"
Bbx	bobby sox homolog (Drosophila)
BC005471	cDNA sequence BC005471
BC021921	cDNA sequence BC021921
BC024063	cDNA sequence BC024063
BC024139	cDNA sequence BC024139
BC024969	cDNA sequence BC024969
BC026432	cDNA sequence BC026432
BC031441	cDNA sequence BC031441
BC055310	cDNA sequence BC055310
Bcl11a	B-cell CLL/lymphoma 11A (zinc finger protein)
Bcl3	B-cell leukemia/lymphoma 3
Bcl6	B-cell leukemia/lymphoma 6
Bcl6b	"B-cell CLL/lymphoma 6, member B"
Bclaf1	BCL2-associated transcription factor 1
Bcor	Bcl6 interacting corepressor
Bdp1	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
Bhc80	BRAF35/HDAC2 complex
Bhlhb2	"basic helix-loop-helix domain containing, class B2"
Bhlhb3	"basic helix-loop-helix domain containing, class B3"
Bhlhb5	"basic helix-loop-helix domain containing, class B5"
Blzf1	basic leucine zipper nuclear factor 1
Bmi1	B lymphoma Mo-MLV insertion region 1
Bmyc	brain expressed myelocytomatosis oncogene
Bnc1	basonuclin 1
Bpnt1	bisphosphate 3'-nucleotidase 1
Brca1	breast cancer 1
Brd8	bromodomain containing 8
Brdt	"bromodomain, testis-specific"
Brpf1	"bromodomain and PHD finger containing, 1"
Bsx	brain specific homeobox
Btbd11	BTB (POZ) domain containing 11
Bteb1	basic transcription element binding protein 1
Btf3	basic transcription factor 3
C030011J08Rik	RIKEN cDNA C030011J08 gene
C1d	nuclear DNA binding protein
C2ta	class II transactivator
C330002I19Rik	RIKEN cDNA C330002I19 gene
C330003B14Rik	RIKEN cDNA C330003B14 gene
C330013J21Rik	RIKEN cDNA C330013J21 gene
C330022B21Rik	RIKEN cDNA C330022B21 gene
C330039G02Rik	RIKEN cDNA C330039G02 gene
C730024G01Rik	RIKEN cDNA C730024G01 gene
C730048E16Rik	RIKEN cDNA C730048E16 gene
Camk4	calcium/calmodulin-dependent protein kinase IV
Carf	calcium response factor
Carhsp1	calcium regulated heat stable protein 1
Carm1	coactivator-associated arginine methyltransferase 1
Cart1	cartilage homeo protein 1
Caskin1	CASK interacting protein 1
Catnb	catenin beta
Cbfa2t1h	CBFA2T1 identified gene homolog (human)
Cbfb	core binding factor beta
Cbx2	chromobox homolog 2 (Drosophila Pc class)
Cbx3	chromobox homolog 3 (Drosophila HP1 gamma)
Cbx4	chromobox homolog 4 (Drosophila Pc class)
Cbx8	chromobox homolog 8 (Drosophila Pc class)
Ccnc	cyclin C
Ccnh	cyclin H
Ccnk	cyclin K
Ccnt1	cyclin T1
Ccnt2	cyclin T2
Cdc5l	cell division cycle 5-like (S. pombe)
Cdk2	cyclin-dependent kinase 2
Cdk4	cyclin-dependent kinase 4
Cdk7	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)
Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)
Cdkn2a	cyclin-dependent kinase inhibitor 2A
Cdkn2b	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
Cdkn2c	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
Cdkn2d	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"
Cdx1	caudal type homeo box 1
Cdx2	caudal type homeo box 2
Cdx4	caudal type homeo box 4
Cebpa	"CCAAT/enhancer binding protein (C/EBP), alpha"
Cebpb	"CCAAT/enhancer binding protein (C/EBP), beta"
Cebpd	"CCAAT/enhancer binding protein (C/EBP), delta"
Cebpg	"CCAAT/enhancer binding protein (C/EBP), gamma"
Cebpz	CCAAT/enhancer binding protein zeta
Cecr6	"cat eye syndrome chromosome region, candidate 6 homolog (human)"
Centb5	"centaurin, beta 5"
Centg3	"centaurin, gamma 3"
Chd4	chromodomain helicase DNA binding protein 4
Ches1	checkpoint suppressor 1
Chgb	chromogranin B
Chx10	C. elegans ceh-10 homeo domain containing homolog
Cic	capicua homolog (Drosophila)
Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1
Cited2	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
Cited4	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4"
Ckn1	Cockayne syndrome 1 homolog (human)
Clock	circadian locomoter output cycles kaput
Clp1	cardiac lineage protein 1
Cml3	camello-like 3
Cnbp1	cellular nucleic acid binding protein 1
Cnot7	"CCR4-NOT transcription complex, subunit 7"
Cnot8	"CCR4-NOT transcription complex, subunit 8"
Copeb	core promoter element binding protein
Cops2	"COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)"
Cops5	"COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)"
Creb1	cAMP responsive element binding protein 1
Creb3	cAMP responsive element binding protein 3
Creb3l1	cAMP responsive element binding protein 3-like 1
Creb3l3	cAMP responsive element binding protein 3-like 3
Creb3l4	cAMP responsive element binding protein 3-like 4
Creb5	cAMP responsive element binding protein 5
Crebbp	CREB binding protein
Crebl1	cAMP responsive element binding protein-like 1
Creg	cellular repressor of E1A-stimulated genes
Crem	cAMP responsive element modulator
Cri2	CREBBP/EP300 inhibitory protein 2
Crsp6	"cofactor required for Sp1 transcriptional activation, subunit 6"
Crsp7	"cofactor required for Sp1 transcriptional activation, subunit 7"
Crsp9	"cofactor required for Sp1 transcriptional activation, subunit 9"
Crx	cone-rod homeobox containing gene
Csda	cold shock domain protein A
Ctbp2	C-terminal binding protein 2
Ctcf	CCCTC-binding factor
Ctnnbl1	"catenin, beta like 1"
Cutl1	cut-like 1 (Drosophila)
Cutl2	cut-like 2 (Drosophila)
Cxxc1	CXXC finger 1 (PHD domain)
Cyln2	cytoplasmic linker 2
D030011N01Rik	RIKEN cDNA D030011N01 gene
D030014N22Rik	RIKEN cDNA D030014N22 gene
D030022P06Rik	RIKEN cDNA D030022P06 gene
D10Jhu82e	"DNA segment, Chr 10, Johns Hopkins University 82, expressed"
D11Bwg0517e	"DNA segment, Chr 11, Brigham & Women's Genetics 0517 expressed"
D11Ertd530e	"DNA segment, Chr 11, ERATO Doi 530, expressed"
D12Ertd748e	"DNA segment, Chr 12, ERATO Doi 748, expressed"
D130006K24Rik	RIKEN cDNA D130006K24 gene
D130026O16Rik	RIKEN cDNA D130026O16 gene
D15Ertd417e	"DNA segment, Chr 15, ERATO Doi 417, expressed"
D19Ertd675e	"DNA segment, Chr 19, ERATO Doi 675, expressed"
D1Bwg0491e	"DNA segment, Chr 1, Brigham & Women's Genetics 0491 expressed"
D1Ertd161e	"DNA segment, Chr 1, ERATO Doi 161, expressed"
D230022C05Rik	RIKEN cDNA D230022C05 gene
D330024H06Rik	RIKEN cDNA D330024H06 gene
D3Jfr1	"DNA segment, Chr 3, MJeffers 1"
D430039N05Rik	RIKEN cDNA D430039N05 gene
D5Ertd679e	"DNA segment, Chr 5, ERATO Doi 679, expressed"
D830019J24Rik	RIKEN cDNA D830019J24 gene
D8Ertd69e	"DNA segment, Chr 8, ERATO Doi 69, expressed"
Dach1	dachshund 1 (Drosophila)
Dach2	dachshund 2 (Drosophila)
Daxx	Fas death domain-associated protein
Dazap2	DAZ associated protein 2
Dbp	D site albumin promoter binding protein
Dbx1	developing brain homeobox 1
Dbx2	developing brain homeobox 2
Ddef1	development and differentiation enhancing
Ddit3	DNA-damage inducible transcript 3
Ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
Deaf1	deformed epidermal autoregulatory factor 1 (Drosophila)
Dedd	death effector domain-containing
Dedd2	death effector domain-containing DNA binding protein 2
Dek	DEK oncogene (DNA binding)
Dido1	death inducer-obliterator 1
Dlx1	distal-less homeobox 1
Dlx2	distal-less homeobox 2
Dlx3	distal-less homeobox 3
Dlx4	distal-less homeobox 4
Dlx5	distal-less homeobox 5
Dlx6	distal-less homeobox 6
Dmap1	DNA methyltransferase 1-associated protein 1
Dmrt1	doublesex and mab-3 related transcription factor 1
Dmrt2	doublesex and mab-3 related transcription factor 2
Dmrt3	doublesex and mab-3 related transcription factor 3
Dmrta1	doublesex and mab-3 related transcription factor like family A1
Dmrta2	doublesex and mab-3 related transcription factor like family A2
Dmrtc2	doublesex and mab-3 related transcription factor like family C2
Dmtf1	cyclin D binding myb-like transcription factor 1
Dnmt1	DNA methyltransferase (cytosine-5) 1
Dnmt3a	DNA methyltransferase 3A
Dot1l	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
Dpf2	"D4, zinc and double PHD fingers family 2"
Dpf3	"D4, zinc and double PHD fingers, family 3"
Dr1	down-regulator of transcription 1
Drap1	Dr1 associated protein 1 (negative cofactor 2 alpha)
Drg1	developmentally regulated GTP binding protein 1
Dsip1	"delta sleep inducing peptide, immunoreactor"
DXImx41e	"DNA segment, Chr X, Immunex 41, expressed"
E130309B19Rik	RIKEN cDNA E130309B19 gene
E2f1	E2F transcription factor 1
E2f2	E2F transcription factor 2
E2f3	E2F transcription factor 3
E2f4	E2F transcription factor 4
E2f5	E2F transcription factor 5
E2f6	E2F transcription factor 6
E430039K05Rik	RIKEN cDNA E430039K05 gene
E4f1	E4F transcription factor 1
Ebf1	early B-cell factor 1
Ebf2	early B-cell factor 2
Ebf3	early B-cell factor 3
Ebf4	early B-cell factor 4
Eed	embryonic ectoderm development
Egr1	early growth response 1
Egr2	early growth response 2
Egr3	early growth response 3
Egr4	early growth response 4
Ehf	ets homologous factor
Ehox	ES cell derived homeobox containing gene
Elavl2	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"
Elf1	E74-like factor 1
Elf2	E74-like factor 2
Elf3	E74-like factor 3
Elf4	E74-like factor 4 (ets domain transcription factor)
Elf5	E74-like factor 5
Elk1	"ELK1, member of ETS oncogene family"
Elk3	"ELK3, member of ETS oncogene family"
Elk4	"ELK4, member of ETS oncogene family"
Ell	elongation factor RNA polymerase II
Ell2	elongation factor RNA polymerase II 2
Elys	embryonic large molecule derived from yolk sac
Emx1	empty spiracles homolog 1 (Drosophila)
Emx2	empty spiracles homolog 2 (Drosophila)
En1	engrailed 1
En2	engrailed 2
Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
Eomes	eomesodermin homolog (Xenopus laevis)
Ep300	E1A binding protein p300
Epas1	endothelial PAS domain protein 1
Ercc2	"excision repair cross-complementing rodent repair deficiency, complementation group 2"
Ercc3	"excision repair cross-complementing rodent repair deficiency, complementation group 3"
Erf	Ets2 repressor factor
Erg	avian erythroblastosis virus E-26 (v-ets) oncogene related
Esr1	estrogen receptor 1 (alpha)
Esr2	estrogen receptor 2 (beta)
Esrra	"estrogen related receptor, alpha"
Esrrb	"estrogen related receptor, beta"
Esrrg	estrogen-related receptor gamma
Esx1	"extraembryonic, spermatogenesis, homeobox 1"
Ets1	"E26 avian leukemia oncogene 1, 5' domain"
Ets2	"E26 avian leukemia oncogene 2, 3' domain"
Etsrp71	ets related protein 71
Etv1	ets variant gene 1
Etv3	ets variant gene 3
Etv4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"
Etv6	ets variant gene 6 (TEL oncogene)
Evi1	ecotropic viral integration site 1
Ewsh	Ewing sarcoma homolog
Evx1	even skipped homeotic gene 1 homolog
Evx2	even skipped homeotic gene 2 homolog
Eya1	Eyes absent 1
Eya2	Eyes absent 2
Eya3	Eyes absent 3
Eya4	Eyes absent 4
Ezh1	enhancer of zeste homolog 1 (Drosophila)
Ezh2	enhancer of zeste homolog 2 (Drosophila)
F830020C16Rik	RIKEN cDNA F830020C16 gene
Fah	fumarylacetoacetate hydrolase
Fank1	fibronectin type 3 and ankyrin repeat domains 1
Fbxl10	F-box and leucine-rich repeat protein 10
Fbxl11	F-box and leucine-rich repeat protein 11
Fbxo24	F-box only protein 24
Fbxw7	"F-box and WD-40 domain protein 7, archipelago homolog (Drosophila)"
Fem1a	feminization 1 homolog a (C. elegans)
Fem1b	feminization 1 homolog b (C. elegans)
Fem1c	fem-1 homolog c (C.elegans)
Fev	FEV (ETS oncogene family)
Fhl2	four and a half LIM domains 2
Fhl5	four and a half LIM domains 5
Fkhl18	forkhead-like 18 (Drosophila)
Fli1	Friend leukemia integration 1
Fmnl2	formin-like 2
Fos	FBJ osteosarcoma oncogene
Fosb	FBJ osteosarcoma oncogene B
Fosl1	fos-like antigen 1
Fosl2	fos-like antigen 2
Foxa1	forkhead box A1
Foxa2	forkhead box A2
Foxa3	forkhead box A3
Foxb1	forkhead box B1
Foxb2	forkhead box B2
Foxc1	forkhead box C1
Foxc2	forkhead box C2
Foxd1	forkhead box D1
Foxd2	forkhead box D2
Foxd3	forkhead box D3
Foxd4	forkhead box D4
Foxe1	forkhead box E1 (thyroid transcription factor 2)
Foxe3	forkhead box E3
Foxf1a	forkhead box F1a
Foxf2	forkhead box F2
Foxg1	forkhead box G1
Foxh1	forkhead box H1
Foxi1	forkhead box I1
Foxj1	forkhead box J1
Foxj2	forkhead box J2
Foxk1	forkhead box K1
Foxl1	forkhead box L1
Foxl2	forkhead box L2
Foxm1	forkhead box M1
Foxn1	forkhead box N1
Foxn2	forkhead box N2
Foxn4	forkhead box N4
Foxo1	forkhead box O1
Foxo3	forkhead box O3
Foxp1	forkhead box P1
Foxp2	forkhead box P2
Foxp3	forkhead box P3
Foxp4	forkhead box P4
Foxq1	forkhead box Q1
Fus	"fusion, derived from t(12;16) malignant liposarcoma (human)"
Fusip1	FUS interacting protein (serine-arginine rich) 1
Fxr1h	"fragile X mental retardation gene 1, autosomal homolog"
G431001E03Rik	RIKEN cDNA G431001E03 gene
G431002C21Rik	RIKEN cDNA G431002C21 gene
Gabpa	"GA repeat binding protein, alpha"
Gabpb1	"GA repeat binding protein, beta 1"
Garnl1	GTPase activating RANGAP domain-like 1
Gas41	glioma-amplified sequence-41
Gas7	growth arrest specific 7
Gasz	"germ cell-specific ankyrin, SAM and basic leucine zipper domain containing protein"
Gata1	GATA binding protein 1
Gata2	GATA binding protein 2
Gata3	GATA binding protein 3
Gata4	GATA binding protein 4
Gata5	GATA binding protein 5
Gata6	GATA binding protein 6
Gbif	"globin inducing factor, fetal"
Gbx1	gastrulation brain homeobox 1
Gbx2	gastrulation brain homeobox 2
Gcdh	glutaryl-Coenzyme A dehydrogenase
Gcl	germ cell-less homolog (Drosophila)
Gcm1	glial cells missing homolog 1 (Drosophila)
Gcm2	glial cells missing homolog 2 (Drosophila)
Gcn5l2	GCN5 general control of amino acid synthesis-like 2 (yeast)
Gfi1	growth factor independent 1
Gfi1b	growth factor independent 1B
Gli	GLI-Kruppel family member GLI
Gli2	GLI-Kruppel family member GLI2
Gli3	GLI-Kruppel family member GLI3
Glis1	GLIS family zinc finger 1
Glis2	GLIS family zinc finger 2
Glmr	gp130-like monocyte receptor
Glrp1	glutamine repeat protein 1
Gls2	"glutaminase 2 (liver, mitochondrial)"
Gmeb1	glucocorticoid modulatory element binding protein 1
Gmeb2	glucocorticoid modulatory element binding protein 2
Gsc	goosecoid
